比赛元数据项,比赛元数据值,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18
赛事标题,2019总决赛G1：勇士109-118猛龙,,,,,,,,,,,,,,,,,,,
赛事类型,赛事类型：总决赛G1,,,,,,,,,,,,,,,,,,,
比赛时间,比赛时间：2019年05月30日 9:00,,,,,,,,,,,,,,,,,,,
比赛主/客队,主队：多伦多猛龙/客队：金州勇士,,,,,,,,,,,,,,,,,,,
比赛裁判,"裁判：James Capers Jr., John Goble, Jason Phillips",,,,,,,,,,,,,,,,,,,
比赛客队未上场球员,"客队未出场球员：凯文-杜兰特,达米安-琼斯",,,,,,,,,,,,,,,,,,,
比赛主队未上场球员,"主队未出场球员：OG-阿奴诺比,克里斯-布歇",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
勇士全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
德雷蒙德-格林,40:22,2,9,.222,0,2,.0,6,6,1.0,0,10,10,10,1,0,6,5,10,-8
斯蒂芬-库里,40:16,8,18,.444,4,9,.444,14,14,1.0,1,4,5,5,1,0,3,4,34,-9
克莱-汤普森,39:19,8,17,.471,3,6,.500,2,2,1.0,2,3,5,1,0,0,2,3,21,-10
安德烈-伊格达拉,29:11,3,7,.429,0,4,.0,0,0,0,2,4,6,7,0,1,2,3,6,-8
乔丹-贝尔,11:37,1,2,.500,0,0,0,0,0,0,1,2,3,1,0,0,0,0,2,-4
凯文-卢尼,28:20,4,5,.800,0,0,0,1,2,.500,1,2,3,1,1,0,1,5,9,-4
肖恩-利文斯顿,17:30,2,6,.333,0,1,.0,2,2,1.0,1,3,4,1,1,1,0,3,6,-2
奎因-库克,9:17,2,4,.500,1,2,.500,1,1,1.0,0,0,0,1,0,0,0,1,6,-2
阿方索-麦金尼,8:26,2,4,.500,2,3,.667,0,0,0,0,1,1,0,0,0,1,1,6,+4
德马库斯-考辛斯,8:04,0,2,.0,0,1,.0,3,4,.750,0,0,0,2,2,0,1,2,3,-1
约纳斯-杰雷布科,7:35,2,4,.500,2,3,.667,0,0,0,1,0,1,0,0,0,0,0,6,-1
雅各布-埃文斯,0:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安德鲁-博古特,未上场,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
猛龙全场基础数据,,,,,,,,,,,,,,,,,,,,
球员,分钟,命中,投篮次数,命中率,3分命中,3分投篮,3分命中率,罚球命中,罚球次数,罚球命中率,前场篮板,后场篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分,正负值
科怀-伦纳德,43:03,5,14,.357,3,6,.500,10,12,.833,1,7,8,5,1,0,2,3,23,+11
帕斯卡尔-西亚卡姆,39:45,14,17,.824,2,3,.667,2,2,1.0,3,5,8,5,1,2,2,3,32,+4
凯尔-洛瑞,36:14,2,9,.222,1,5,.200,2,2,1.0,0,6,6,9,1,0,3,5,7,+11
马克-加索尔,29:43,6,10,.600,2,4,.500,6,6,1.0,0,7,7,1,2,1,0,6,20,+8
丹尼-格林,29:41,4,9,.444,3,7,.429,0,0,0,1,1,2,1,1,2,0,1,11,+2
弗雷德-范弗利特,33:06,5,8,.625,1,4,.250,4,6,.667,0,1,1,2,0,0,1,3,15,+11
赛尔吉-伊巴卡,17:03,2,7,.286,0,2,.0,1,2,.500,2,1,3,1,0,1,2,3,5,-1
帕特里克-麦考,6:50,1,2,.500,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,3,-3
诺曼-鲍威尔,4:35,0,1,.0,0,1,.0,2,2,1.0,0,1,1,0,0,0,0,2,2,+2
林书豪,未上场,,,,,,,,,,,,,,,,,,,
约迪-米克斯,未上场,,,,,,,,,,,,,,,,,,,
马尔科姆-米勒,未上场,,,,,,,,,,,,,,,,,,,
埃里克-莫兰,未上场,,,,,,,,,,,,,,,,,,,
