0,1,2,3,4,5,6,7
2023NBA总决赛掘金 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
尼古拉-约基奇,27,41.2,30.2,14.0,7.2,0.8,1.4
贾马尔-穆雷,25,42.2,21.4,6.2,10.0,1.0,0.0
阿龙-戈登,27,35.6,14.0,7.4,3.0,0.8,0.6
布鲁斯-布朗,26,26.8,11.4,4.4,1.0,1.0,0.8
小迈克尔-波特,24,29.4,9.6,8.4,0.8,0.0,0.4
波普,29,34.2,7.4,3.4,1.4,1.4,1.2
克里斯琴-布劳恩,21,16.4,5.8,2.0,1.2,1.0,0.4
杰夫-格林,36,13.0,4.8,0.4,0.6,0.2,0.0
托马斯-布莱恩特,25,0.0,0.0,0.0,0.0,0.0,0.0
弗拉特科-钱查尔,25,0.0,0.0,0.0,0.0,0.0,0.0
雷吉-杰克逊,32,1.0,0.0,1.0,1.0,0.0,0.0
德安德烈-乔丹,34,3.0,0.0,0.0,0.0,0.0,1.0
齐克-纳吉,22,0.0,0.0,0.0,0.0,0.0,0.0
佩顿-沃特森,20,0.0,0.0,0.0,0.0,0.0,0.0
2023NBA总决赛热火 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
巴姆-阿德巴约,25,41.8,21.8,12.4,3.2,0.4,0.8
吉米-巴特勒,33,41.0,21.6,4.6,6.4,0.8,0.6
盖布-文森特,26,28.4,11.4,0.4,2.4,1.0,0.2
凯尔-洛瑞,36,29.2,10.8,4.0,4.8,1.0,0.2
邓肯-罗宾逊,28,18.8,7.8,1.2,1.6,0.2,0.4
凯莱布-马丁,27,28.4,7.4,4.4,1.2,1.0,0.6
马克斯-斯特鲁斯,26,25.0,5.8,4.8,3.0,0.2,0.6
凯文-乐福,34,17.8,6.8,4.5,0.3,0.8,0.5
海伍德-海史密斯,26,7.0,3.6,0.8,0.0,0.4,0.2
科迪-泽勒,30,5.4,0.8,1.0,0.2,0.0,0.2
犹多尼斯-哈斯勒姆,42,0.0,0.0,0.0,0.0,0.0,0.0
尼古拉-约维奇,19,1.0,0.0,0.5,0.0,0.0,0.0
奥默-尤尔特塞文,24,1.0,0.0,0.5,0.0,0.0,0.0
2022NBA总决赛勇士 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
斯蒂芬-库里,33,37.5,31.2,6.0,5.0,2.0,0.2
安德鲁-威金斯,26,39.2,18.3,8.8,2.2,1.5,1.5
克莱-汤普森,31,38.3,17.0,3.0,2.0,1.3,0.5
乔丹-普尔,22,20.8,13.2,1.8,1.8,0.5,0.2
德雷蒙德-格林,31,36.2,6.2,8.0,6.2,1.7,0.7
小加里-佩顿,29,18.6,7.0,3.2,1.4,1.6,0.4
奥托-波特,28,17.0,5.2,2.0,1.0,1.0,0.2
凯文-卢尼,25,21.7,5.0,7.5,2.7,0.7,0.8
内马尼亚-别利察,33,5.8,1.8,1.6,0.2,0.4,0.0
安德烈-伊格达拉,38,4.8,1.8,0.0,1.3,0.0,0.0
摩西-穆迪,19,2.8,0.5,0.0,0.0,0.0,0.3
乔纳森-库明加,19,2.0,0.0,0.3,0.0,0.0,0.0
达米恩-李,29,2.0,0.0,0.0,0.0,0.0,0.0
托斯卡诺-安德森,28,2.0,0.0,0.5,0.8,0.0,0.0
2022NBA总决赛凯尔特人 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
杰伦-布朗,25,38.8,23.5,7.3,3.7,0.8,0.3
杰森-塔图姆,23,40.7,21.5,6.8,7.0,1.2,0.7
马库斯-斯马特,27,35.5,15.2,4.5,5.0,1.5,0.0
艾尔-霍福德,35,31.8,12.5,8.5,2.8,0.7,0.7
德里克-怀特,27,26.5,9.8,1.5,2.2,0.7,0.5
罗伯特-威廉姆斯,24,26.3,7.5,7.5,1.5,0.8,2.8
格兰特-威廉姆斯,23,17.0,4.2,2.3,1.0,0.2,0.7
佩顿-普里查德,24,11.2,2.7,2.2,1.0,0.2,0.0
阿龙-内史密斯,22,3.2,1.4,0.8,0.4,0.2,0.0
卢克-科内特,26,2.0,1.7,0.7,0.3,0.0,0.0
马利克-菲茨,24,2.0,1.0,0.0,0.0,0.0,0.0
萨姆-豪瑟,24,2.2,0.6,0.0,0.4,0.0,0.0
尼克-斯陶斯卡斯,28,1.8,0.6,0.6,0.2,0.0,0.0
丹尼尔-泰斯,29,10.0,1.5,2.5,0.5,0.0,1.0
朱万-摩根,24,1.3,0.0,0.3,0.0,0.0,0.0
2021NBA总决赛雄鹿 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
阿德托昆博,26,39.8,35.2,13.2,5.0,1.2,1.8
克里斯-米德尔顿,29,42.5,24.0,6.3,5.3,1.5,0.0
朱-霍勒迪,30,41.7,16.7,6.2,9.3,2.2,0.7
布鲁克-洛佩斯,32,24.5,11.5,5.3,0.2,0.7,0.7
帕特-康诺顿,28,30.0,9.2,5.8,1.2,0.2,0.0
博比-波蒂斯,25,16.7,7.7,4.0,0.2,0.7,0.3
P.J. Tucker,35,31.3,4.0,3.8,1.2,1.0,0.0
布林-福布斯,27,7.3,3.0,0.3,0.0,0.3,0.0
杰夫-蒂格,32,9.3,1.5,0.8,0.7,0.5,0.0
乔丹-沃拉,22,1.0,3.0,1.0,0.0,0.0,0.0
萨纳西斯-阿德托昆博,28,2.0,0.0,3.0,0.0,0.0,0.0
伊莱贾-布莱恩特,25,0.0,0.0,0.0,0.0,0.0,0.0
萨姆-梅里尔,24,1.0,0.0,0.0,0.0,0.0,0.0
2021NBA总决赛太阳 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
德文-布克,24,40.2,28.2,3.5,4.0,0.8,0.3
克里斯-保罗,35,37.3,21.8,2.7,8.2,0.7,0.2
德安德烈-艾顿,22,37.5,14.7,12.0,1.8,1.5,1.5
米卡尔-布里奇斯,24,32.0,12.0,4.2,1.2,1.0,0.5
杰-克劳德,30,37.2,11.7,8.5,1.7,1.7,1.0
Came罗恩-约翰逊,24,22.7,8.5,3.2,0.8,0.5,0.5
卡梅伦-佩恩,26,15.7,7.3,2.5,1.7,0.7,0.0
托里-克雷格,30,10.7,2.8,1.3,0.2,0.0,0.0
弗兰克-卡明斯基,27,7.3,3.0,1.5,0.8,0.3,0.0
泰肖恩-亚历山大,22,1.0,2.0,0.0,0.0,0.0,0.0
阿卜杜勒-纳迪尔,27,4.0,0.0,0.0,0.0,0.0,0.0
达里奥-沙里奇,26,2.0,0.0,1.0,0.0,0.0,0.0
2020NBA总决赛湖人 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,35,39.3,29.8,11.8,8.5,1.2,0.5
安东尼-戴维斯,26,38.2,25.0,10.7,3.2,1.3,2.0
波普,26,31.3,12.8,2.8,2.0,1.0,0.2
拉简-隆多,33,26.0,8.7,5.2,5.5,1.0,0.0
凯尔-库兹马,24,21.7,8.5,2.8,0.5,0.2,0.2
丹尼-格林,32,22.8,7.5,2.8,1.2,1.0,0.8
马基夫-莫里斯,30,21.3,7.5,3.3,1.2,0.0,0.0
亚历克斯-卡鲁索,25,24.8,6.3,2.5,2.3,0.8,0.2
德怀特-霍华德,34,11.8,2.8,2.8,0.7,0.2,0.3
奎因-库克,26,1.5,1.5,0.0,0.0,0.0,0.0
JR-史密斯,34,3.3,1.0,0.3,0.0,0.3,0.0
贾里德-杜德利,34,1.0,0.0,0.0,0.0,0.0,0.3
2020NBA总决赛热火 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
吉米-巴特勒,30,43.0,26.2,8.3,9.8,2.2,0.8
泰勒-希罗,20,34.7,14.7,4.2,3.0,0.5,0.0
邓肯-罗宾逊,25,32.0,12.5,2.7,2.5,0.8,0.3
杰-克劳德,29,31.5,11.2,5.2,1.2,0.3,0.5
肯德里克-纳恩,24,22.5,10.5,3.5,1.8,0.0,0.2
巴姆-阿德巴约,22,33.8,15.3,6.3,2.5,0.3,0.8
凯利-奥利尼克,28,22.8,11.6,6.0,1.4,0.4,0.6
安德烈-伊格达拉,36,19.7,3.2,2.7,2.0,0.3,0.3
迈耶斯-伦纳德,27,11.0,7.0,0.5,0.5,0.5,0.0
所罗门-希尔,28,6.3,3.0,0.8,0.3,0.3,0.0
戈兰-德拉季奇,33,17.0,5.5,3.0,2.5,1.5,0.0
小德里克-琼斯,22,2.5,0.5,0.3,0.0,0.0,0.0
2019NBA总决赛猛龙 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
科怀-伦纳德,27,40.5,28.5,9.8,4.2,2.0,1.2
帕斯卡尔-西亚卡姆,24,40.2,19.8,7.5,3.7,0.5,0.7
凯尔-洛瑞,32,38.2,16.2,4.0,7.2,1.7,0.5
弗雷德-范弗利特,24,32.5,14.0,2.7,2.2,1.2,0.0
马克-加索尔,34,28.8,12.0,7.3,2.7,0.5,0.3
赛尔吉-伊巴卡,29,19.3,11.3,5.2,1.0,0.8,1.7
丹尼-格林,31,27.2,7.3,3.5,1.2,1.2,0.5
诺曼-鲍威尔,25,11.0,1.8,1.0,0.7,0.3,0.0
帕特里克-麦考,23,3.0,0.8,0.0,0.5,0.0,0.0
